Subject,ModelId,OptimStage,OptimSubstage,Replicate,Iteration,AnalysisId,ParameterCode,NegativeLogLikelihood (float),ParameterValue (float)
fisheries,schaefer,Tuning,None,1,2899,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-16.467129102486933,0.2027368169052694
fisheries,schaefer,Tuning,None,1,3099,546272fd-1817-4d29-a66b-93dc696e41f8,K,-12.937565382693926,1978.7845113234953
fisheries,schaefer,Tuning,None,1,3099,546272fd-1817-4d29-a66b-93dc696e41f8,q,-12.937565382693926,0.000674623547058981
fisheries,schaefer,Tuning,None,1,3099,546272fd-1817-4d29-a66b-93dc696e41f8,r,-12.937565382693926,0.6000686782470919
fisheries,schaefer,Tuning,None,1,3099,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-12.937565382693926,0.2886891634309788
fisheries,schaefer,Tuning,None,1,3299,546272fd-1817-4d29-a66b-93dc696e41f8,K,-16.49582823564192,1964.5456890266094
fisheries,schaefer,Tuning,None,1,3299,546272fd-1817-4d29-a66b-93dc696e41f8,q,-16.49582823564192,0.000730278594047153
fisheries,schaefer,Tuning,None,1,3299,546272fd-1817-4d29-a66b-93dc696e41f8,r,-16.49582823564192,0.604518187845291
fisheries,schaefer,Tuning,None,1,3299,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-16.49582823564192,0.188993534853582
fisheries,schaefer,Tuning,None,1,3499,546272fd-1817-4d29-a66b-93dc696e41f8,K,-14.807464597046094,1950.7893784763157
fisheries,schaefer,Tuning,None,1,3499,546272fd-1817-4d29-a66b-93dc696e41f8,q,-14.807464597046094,0.0008243771428812542
fisheries,schaefer,Tuning,None,1,3499,546272fd-1817-4d29-a66b-93dc696e41f8,r,-14.807464597046094,0.6078354181884085
fisheries,schaefer,Tuning,None,1,3499,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-14.807464597046094,0.15872321451689397
fisheries,schaefer,Tuning,None,1,3699,546272fd-1817-4d29-a66b-93dc696e41f8,K,-16.650952263528623,1966.80603153072
fisheries,schaefer,Tuning,None,1,3699,546272fd-1817-4d29-a66b-93dc696e41f8,q,-16.650952263528623,0.000767957264847022
fisheries,schaefer,Tuning,None,1,3699,546272fd-1817-4d29-a66b-93dc696e41f8,r,-16.650952263528623,0.6031068143175984
fisheries,schaefer,Tuning,None,1,3699,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-16.650952263528623,0.17068687960666315
fisheries,schaefer,Simulated annealing,Heating (T=1.100000),1,1,546272fd-1817-4d29-a66b-93dc696e41f8,K,-16.718437552950544,1998.951917198278
fisheries,schaefer,Simulated annealing,Heating (T=1.100000),1,1,546272fd-1817-4d29-a66b-93dc696e41f8,q,-16.718437552950544,0.0006623102951111231
fisheries,schaefer,Simulated annealing,Heating (T=1.100000),1,1,546272fd-1817-4d29-a66b-93dc696e41f8,r,-16.718437552950544,0.5962741769491097
fisheries,schaefer,Simulated annealing,Heating (T=1.100000),1,1,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-16.718437552950544,0.19008677295373083
fisheries,schaefer,Simulated annealing,Heating (T=1.210000),1,72,546272fd-1817-4d29-a66b-93dc696e41f8,K,-16.478051251544958,2022.0146981288228
fisheries,schaefer,Simulated annealing,Heating (T=1.210000),1,72,546272fd-1817-4d29-a66b-93dc696e41f8,q,-16.478051251544958,0.0006606708626467107
fisheries,schaefer,Simulated annealing,Heating (T=1.210000),1,72,546272fd-1817-4d29-a66b-93dc696e41f8,r,-16.478051251544958,0.582432420033301
fisheries,schaefer,Simulated annealing,Heating (T=1.210000),1,72,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-16.478051251544958,0.21390536643690364
